Customer_names,Brand,Model,Engine_size,Fuel_type,Year_of_manufacture,Mileage,Price,purchase_place
Sanjay Gupta,Mahindra,i20,1,Petrol,2002,127300,3074,Whitefield
Aishwarya Iyer,Tata,Thar,4,Petrol,2016,57850,49704,Indiranagar
Vivek Krishnan,Maruti,Thar,1.6,Diesel,2014,39190,24072,Jayanagar
Ravi Krishnan,Honda,Thar,1.8,Hybrid,1988,210814,1705,Hebbal
Deepak Bhatia,Maruti,Nexon,1,Petrol,2006,127869,4101,Basavanagudi
Ravi Nair,Toyota,Thar,1.4,Petrol,2018,33603,29204,Jayanagar
Shalini Krishnan,Tata,Innova,1.8,Diesel,2010,86686,14350,Koramangala
Neha Pillai,Toyota,Swift,1.4,Hybrid,2015,30663,30297,Basavanagudi
Shalini Sharma,Toyota,Creta,1.2,Petrol,2012,73470,9977,Basavanagudi
Ajay Joshi,Kia,Thar,2,Diesel,1992,262514,1049,Rajajinagar
Rohit Krishnan,Maruti,Harrier,2,Diesel,2014,83047,17173,Whitefield
Priya Singh,Kia,i20,2,Petrol,1990,293666,719,Hebbal
Divya Iyer,Mahindra,Seltos,1.2,Diesel,2007,92697,7792,Yelahanka
Manoj Verma,Hyundai,i20,2.2,Petrol,2007,79393,16026,Rajajinagar
Ananya Iyer,Honda,City,1.4,Petrol,1998,97286,4046,Hebbal
Deepak Choudhary,Mahindra,Innova,1.6,Diesel,1989,222390,933,Hebbal
Aishwarya Pillai,Toyota,i20,2.4,Hybrid,2003,117425,11667,Rajajinagar
Ajay Patel,Mahindra,Innova,1.2,Petrol,1992,245990,720,Rajajinagar
Pooja Pillai,Hyundai,Harrier,2,Hybrid,2018,28381,52671,Rajajinagar
Kiran Gupta,Maruti,Innova,1.2,Petrol,1998,155038,2118,Indiranagar
Arjun Pillai,Mahindra,Swift,1.2,Hybrid,1987,121744,1890,Indiranagar
Pooja Kumar,Mahindra,Baleno,1.6,Diesel,1996,77584,5667,Whitefield
Aishwarya Mehta,Maruti,Thar,1,Hybrid,2003,115291,6512,Basavanagudi
Arjun Krishnan,Hyundai,Swift,1,Hybrid,1990,238571,961,Malleswaram
Ananya Kumar,Tata,Creta,2.6,Petrol,2009,66273,41963,Rajajinagar
Ananya Joshi,Tata,Innova,1.8,Hybrid,2017,31958,38961,Malleswaram
Vivek Mishra,Toyota,Nexon,3.5,Petrol,2005,151556,19747,HSR Layout
Kavya Nair,Hyundai,Baleno,1.2,Petrol,2002,179097,2548,Indiranagar
Ananya Rao,Hyundai,Seltos,2,Petrol,2020,18985,36387,Yelahanka
Sneha Verma,Tata,Nexon,1.8,Hybrid,2002,66990,13553,Rajajinagar
Suresh Nair,Mahindra,Creta,1,Hybrid,2010,85131,12472,Basavanagudi
Sanjay Reddy,Mahindra,i20,1,Petrol,2001,144731,2503,Malleswaram
Manoj Patel,Hyundai,Harrier,2,Diesel,2008,97001,8784,Whitefield
Sneha Singh,Maruti,Nexon,1.6,Petrol,2016,52409,17257,Koramangala
Priya Menon,Toyota,i20,1.4,Petrol,2010,112714,6936,Koramangala
Ajay Iyer,Honda,Creta,2,Diesel,1992,198540,1964,Jayanagar
Meera Joshi,Tata,Innova,1.8,Diesel,1989,213162,1340,Malleswaram
Ananya Mishra,Mahindra,Seltos,2.2,Petrol,2005,133174,8511,HSR Layout
Manoj Verma,Tata,Swift,1.6,Petrol,2008,129588,5848,Jayanagar
Suresh Sharma,Kia,Seltos,2,Petrol,1990,148586,2637,Koramangala
Aishwarya Deshmukh,Toyota,City,2,Petrol,1995,91173,5181,Malleswaram
Ajay Choudhary,Maruti,Harrier,4,Petrol,2017,22759,97758,Malleswaram
Ravi Gupta,Toyota,Nexon,1.4,Petrol,1990,261526,522,Yelahanka
Ajay Nair,Mahindra,Harrier,1.4,Diesel,1995,235594,1439,HSR Layout
Pooja Gupta,Kia,Nexon,2,Petrol,1995,42759,7873,Yelahanka
Rohit Menon,Tata,Nexon,1.8,Diesel,2005,103352,9633,Jayanagar
Neha Nair,Hyundai,Swift,1.6,Petrol,2003,63372,10001,HSR Layout
Ananya Sharma,Hyundai,Innova,1,Petrol,2009,51787,9689,Koramangala
Kiran Pillai,Maruti,Creta,1.4,Petrol,2014,41495,14721,Basavanagudi
Priya Joshi,Tata,Nexon,1.4,Petrol,2010,43111,12928,Koramangala
Neha Menon,Hyundai,Nexon,1,Diesel,2017,38370,16257,Indiranagar
Sneha Menon,Hyundai,Seltos,2.4,Petrol,2018,24588,49125,Yelahanka
Ananya Verma,Kia,Baleno,1,Diesel,2000,207339,1480,HSR Layout
Rohit Rao,Toyota,Seltos,1,Petrol,1990,182958,873,Jayanagar
Ajay Deshmukh,Kia,Creta,1.6,Diesel,1994,114647,4008,Yelahanka
Rohit Joshi,Maruti,Thar,1,Petrol,1995,162993,1482,Rajajinagar
Arjun Krishnan,Kia,Thar,1.2,Petrol,2002,139884,3713,Hebbal
Divya Krishnan,Mahindra,City,2.6,Diesel,2015,33693,54037,Whitefield
Aishwarya Choudhary,Maruti,i20,2.2,Petrol,2004,126777,8373,Yelahanka
Ravi Patel,Maruti,Baleno,1.2,Petrol,2010,51553,9813,Malleswaram
Priya Mehta,Tata,Baleno,1,Petrol,2010,75821,8851,Whitefield
Vivek Mehta,Maruti,Harrier,1.4,Diesel,2010,45193,11881,Whitefield
Ravi Gupta,Mahindra,Harrier,1.6,Petrol,1997,87723,3840,Hebbal
Pooja Gupta,Honda,Swift,1.8,Petrol,1993,279656,863,Jayanagar
Deepak Sharma,Hyundai,Seltos,2,Hybrid,2018,25017,36957,Koramangala
Sneha Deshmukh,Kia,Creta,1.2,Petrol,1996,111771,2543,Indiranagar
Divya Joshi,Hyundai,Thar,1.4,Hybrid,2016,43893,29946,Basavanagudi
Arjun Bhatia,Toyota,Harrier,1,Petrol,2007,118788,5306,Rajajinagar
Ajay Gupta,Maruti,Thar,1.4,Hybrid,2016,43130,30085,Hebbal
Priya Krishnan,Tata,Nexon,1.6,Diesel,1991,247911,1052,Koramangala
Suresh Menon,Kia,i20,2,Petrol,1991,272161,854,Rajajinagar
Divya Patel,Tata,Swift,1.6,Diesel,1994,179361,2371,Indiranagar
Vivek Sharma,Mahindra,Baleno,1,Petrol,2009,66424,7616,Indiranagar
Aishwarya Rao,Toyota,Swift,1.8,Diesel,1999,104544,6058,Hebbal
Ajay Sharma,Kia,i20,1,Hybrid,1999,80589,4937,Basavanagudi
Suresh Iyer,Toyota,Thar,1.4,Diesel,2000,128137,4771,Basavanagudi
Shalini Krishnan,Hyundai,Seltos,2,Petrol,1992,169078,3074,HSR Layout
Ananya Deshmukh,Hyundai,Swift,1.6,Petrol,2016,64344,23641,Malleswaram
Ananya Sharma,Maruti,Creta,1.6,Diesel,1993,176456,2274,Indiranagar
Ravi Reddy,Honda,i20,1.4,Petrol,1985,179526,1105,Yelahanka
Meera Iyer,Hyundai,Nexon,1.8,Hybrid,1999,162425,5396,Yelahanka
Kiran Menon,Hyundai,Creta,2.4,Petrol,2021,14070,69526,Basavanagudi
Ananya Reddy,Maruti,Nexon,2.4,Petrol,1993,226492,1799,Koramangala
Ravi Menon,Hyundai,City,1.2,Petrol,1995,183332,1330,Malleswaram
Kiran Dutta,Mahindra,Thar,2,Petrol,1990,118673,2543,Yelahanka
Aishwarya Krishnan,Toyota,Creta,1,Hybrid,1993,333629,478,Basavanagudi
Ajay Reddy,Kia,Swift,1.8,Diesel,1991,155034,2526,Yelahanka
Rohit Sharma,Mahindra,Nexon,1.2,Petrol,1990,200892,947,Whitefield
Manoj Nair,Toyota,Baleno,1.8,Petrol,2020,22371,40336,Indiranagar
Kavya Mehta,Toyota,Seltos,1.6,Diesel,2015,21834,28435,Rajajinagar
Ajay Verma,Tata,Baleno,1,Petrol,1985,223615,633,Jayanagar
Vivek Mehta,Kia,i20,1.6,Diesel,2007,100798,10008,Jayanagar
Divya Patel,Toyota,Baleno,2.4,Petrol,1997,103758,6532,Whitefield
Kavya Mehta,Maruti,Creta,1.2,Petrol,1997,156919,1901,Basavanagudi
